system:index,date,.geo
136,2006-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2006-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2007-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2007-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2007-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2007-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2007-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2007-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2007-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2007-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2007-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2007-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2007-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2007-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2007-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2007-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2007-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2007-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2007-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2007-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2007-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2007-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2007-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2007-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2007-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2008-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2008-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2008-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2008-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2008-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2008-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2008-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2008-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2008-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2008-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2008-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2008-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2008-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2008-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2008-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2008-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2008-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2008-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2008-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2008-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2008-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2008-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2008-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2009-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2009-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2009-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2009-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2009-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2009-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2009-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2009-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2009-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2009-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2009-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2009-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2009-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2009-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2009-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2009-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2009-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2009-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2009-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2009-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2009-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2009-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
